package,bullet_id,text,bullets_level,section_id,is_codeblock,parent_text
broom,08c43e3e66008881469db655678e936f,Moved forward with deprecation of tidiers for objects from the sp package. See resources linked in tidymodels/broom#1142 for more information on migration from retiring spatial packages.,1,1,FALSE,NA
broom,9bcd6df87fdd6a796ff70ecfeb44e542,Corrected confidence interval values for precision components in `tidy.betareg()` output (#1169).,1,2,FALSE,NA
broom,c9b96e34d219a636d2c5eadf47fa25df,Fixed bug in tidier for `car::linearHypothesis()` output with long formulas (#1171).,1,3,FALSE,NA
broom,3c63306c05bb9533494997ff2f30e667,Added support for columns `adj.r.squared` and `npar` in `glance()` method for objects outputted from `mgcv::gam()` (#1172).,1,4,FALSE,NA
broom,2a65bf4ba9461b57bd27b59405a6da7d,`tidy.coxph()` will now pass its ellipses `...` to `summary()` internally (#1151 by `@​ste-tuf`).,1,5,FALSE,NA
broom,3cb5775c8c8be5e52f5c2a2611ea215a,Transitioned the deprecation of the `region` argument to `tidy.SpatialPolygonsDataFrame` from a warn- to a hard-deprecation (#1142).,1,6,FALSE,NA
broom,7224a667e62a44c1411d219390361282,Removed maptools and rgeos as Suggested packages ahead of their retirement. sp tidiers will be removed from a future release of the package (#1142).,1,7,FALSE,NA
broom,9d947a204969a29737eb0a1b2fefec93,Addressed bug in mlogit tidiers where `augment.mlogit()` would fail if supplied a model fitted with a non-default `dfidx()` (#1156 by `@​gregmacfarlane`).,1,8,FALSE,NA
broom,5e7e8ca91d8bdd1f9c907bffeead0c05,Addressed bug in ANOVA tidiers where `tidy.anova()` would fail if passed a model with many predictors (#1159 by `@​jwilliman`).,1,9,FALSE,NA
broom,1129ad899fbb61bdb9ae653b9fad7b84,"Addressed warnings in ANOVA tidiers for unrecognized column names `Resid..Df`, `Resid..Dev`, and `Deviance`; those columns will be renamed `df.residual`, `residual.deviance`, and `deviance`, respectively (#1159 by `@​jwilliman`).",1,10,FALSE,NA
broom,9493c5020af1b5239c6d427538880ed8,"Added an `intercept` argument to `tidy.aov()`, a logical indicating whether to include information on the intercept as the first row of results (#1144 by `@​victor-vscn`).",1,11,FALSE,NA
broom,a2a07cacd3048c8ac182822194fdb337,Moved forward with soft-deprecation of tidiers for objects from the sp package ahead of the retirement of the rgeos and maptools packages later this year. sp tidiers will be removed from a future release of the package (#1142).,1,12,FALSE,NA
broom,6601461131c5def1d726da6a3be3fcbc,Fixed bug in `augment.glm()` where the `.std.resid` column always contained standardized deviance residuals regardless of the value passed to the `type.residuals` argument (#1147).,1,13,FALSE,NA
broom,5a12fff2f47d9f02b0d198f1406530bc,Addressed test failures on R-devel.,1,14,FALSE,NA
broom,5fa5cca44b9924d03121cc809c4bb8e5,Fixed bug in `tidy.multinom()` where the `conf.level` argument would be ignored.,1,15,FALSE,NA
broom,b7be4e0173a1dad0d6a8f4a66f8eb25f,The default `data` argument for `augment.coxph()` and `augment.survreg()` has been transitioned from `NULL` to `model.frame(x)` (#1126 by `@​capnrefsmmat`).,1,16,FALSE,NA
broom,5175f3908f9c8488e0362d1f89beaaa7,"Migrated 'ggplot2' from strong to weak dependency, i.e. moved from `Imports` to `Suggests`.",1,17,FALSE,NA
broom,7a7646b02ace728c53b09dd4a5d9bb99,"Fixed a bug where `augment()` results would not include residuals when the response term included a function call (#1121, #946, #937, #124).",1,18,FALSE,NA
broom,bd6a6db49067a7f65458ba6d4b38106f,Improves performance of `tidy.lm()` and `tidy.glm()` for full-rank fits (#1112 by `@​capnrefsmmat`).,1,19,FALSE,NA
broom,5c38bc019a4ca8d9aaff85db02f476ca,"Moves forward with deprecation of tidiers for sparse matrices outputted from the Matrix package, initially soft-deprecated in broom 0.5.0. The Matrix tidiers were light wrappers around coercion methods that will now be deprecated from Matrix itself in the upcoming 1.4-2 release. The affected methods are `tidy.sparseMatrix()`, `tidy.dgCMatrix()`, and `tidy.dgTMatrix()`. Note that `tidy.confusionMatrix()`, for relevant objects outputted from the caret package, is unaffected (#1113).",1,20,FALSE,NA
broom,753a3957f10e417eb16740bf49057943,`tidy.anova()` works again with `anova` objects from the `lme4` package (broken by addition of the `terms` column in the previous release),1,21,FALSE,NA
broom,5f52f1dc56c1aad2e09778d2358caa80,Adds minimal ellipsis checking to warn on commonly misspecified arguments passed through ellipses. Notably:,1,22,FALSE,NA
broom,5f52f1dc56c1aad2e09778d2358caa80,• `tidy()` methods will now warn when supplied an `exponentiate` argument if it will be ignored.,2,23,FALSE,Adds minimal ellipsis checking to warn on commonly misspecified arguments passed through ellipses. Notably:
